row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source
466,3721,KHUN KAEO,ขุนแก้ว,3719,NAKHON CHAI SI,นครชัยศรี,3667,Nakhon Pathom,นครปฐม,21.0,11.0,51.0,100.0,100.0,70.0,0.0,1.0,0.0,0.0,91.0,87.0,87.0,100.0,100.0,96.0,baania
337,3204,NIKHOM SONGKHRO,นิคมสงเคราะห์,3196,MUEANG UDON THANI,เมืองอุดรธานี,3195,Udon Thani,อุดรธานี,1.0,21.0,6.0,24.0,6.0,16.0,0.0,0.0,0.0,0.0,11.0,96.0,78.0,84.0,76.0,69.0,baania
549,7228,KHLONG KRACHAENG,คลองกระแชง,7227,MUEANG PHETCHABURI,เมืองเพชรบุรี,7226,Phetchaburi,เพชรบุรี,17.0,53.0,45.0,69.0,54.0,53.0,0.0,0.0,0.0,0.0,88.0,97.0,96.0,100.0,99.0,97.0,baania
484,4628,SAMET,เสม็ด,4617,MUEANG CHON BURI,เมืองชลบุรี,4616,Chon Buri,ชลบุรี,30.0,44.0,36.0,71.0,44.0,54.0,0.0,0.0,0.0,0.0,93.0,97.0,95.0,99.0,98.0,97.0,baania
531,1018,SAN PHISUEA,สันผีเสื้อ,1006,MUEANG CHIANG MAI,เมืองเชียงใหม่,1005,Chiang Mai,เชียงใหม่,4.0,5.0,17.0,7.0,36.0,10.0,0.0,0.0,0.0,0.0,43.0,60.0,86.0,64.0,96.0,65.0,baania
620,4672,NONG TAMLUENG,หนองตำลึง,4663,PHAN THONG,พานทอง,4616,Chon Buri,ชลบุรี,5.0,15.0,9.0,28.0,21.0,19.0,0.0,0.0,0.0,0.0,71.0,74.0,77.0,92.0,89.0,84.0,baania
212,4588,HUA SAMRONG,หัวสำโรง,4584,PLAENG YAO,แปลงยาว,4510,Chachoengsao,ฉะเชิงเทรา,1.0,12.0,4.0,17.0,28.0,13.0,0.0,0.0,0.0,0.0,57.0,69.0,63.0,75.0,69.0,69.0,baania
49,3900,WANG MAI,วังใหม่,3896,PATHUM WAN,ปทุมวัน,3781,Bangkok,กรุงเทพมหานคร,98.0,100.0,98.0,100.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,99.0,baania
445,3776,BAN MAI,บ้านใหม่,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,80.0,14.0,60.0,100.0,100.0,83.0,0.0,36.0,0.0,14.0,100.0,88.0,94.0,100.0,100.0,98.0,baania
593,3804,LAT YAO,ลาดยาว,3800,CHATUCHAK,จตุจักร,3781,Bangkok,กรุงเทพมหานคร,91.0,99.0,91.0,100.0,100.0,97.0,77.0,97.0,2.0,70.0,100.0,77.0,100.0,96.0,96.0,95.0,baania
