row_number,gid,line_no,railway,line_typt,line_type,status,line_th,line_en,station_th,station_en,latitude,longitude,prov_namt,prov_name,amp_namt,amp_name,tam_namt,tam_name
37,13,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,กรมทหารราบที่-11,11th Infantry Regiment,13.86786000,100.59214000,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,อนุสาวรีย์,ANUSAWARI
20,52,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,สว่างคนิวาส,Sawangkhaniwat,13.55304700,100.61445700,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บางปูใหม่,BANG PU MAI
106,53,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,เมืองโบราณ,Mueang Boran,13.53821300,100.62229900,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บางปูใหม่,BANG PU MAI
145,70,2,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีลม,Silom Line,บางแวก,บางแวก,13.73778010,100.44752600,กรุงเทพมหานคร,BANGKOK,ตลิ่งชัน,TALING CHAN,บางเชือกหนัง,BANG CHUEAK NANG
47,45,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,ช้างเอราวัณ,Chang Erawan,13.62329800,100.58942800,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บางด้วน,BANG DUAN
125,48,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,ศรีนครินทร์,Srinagarindra,13.59211000,100.60882300,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บางเมือง,BANG MUEANG
27,229,8,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีส้ม,Orange Line,ศิริราช,Siriraj,13.76067200,100.48389900,กรุงเทพมหานคร,BANGKOK,บางกอกน้อย,BANGKOK NOI,ศิริราช,SIRIRAT
294,77,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,บางยี่ขัน,Bang Yi Khan,13.77553500,100.48380400,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,บางบำหรุ,BANG BAMRU
92,120,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,กระทรวงสาธารณสุข,Ministry of Public Health,13.84898860,100.51502540,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,ตลาดขวัญ,TALAT KHWAN
56,165,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,ศาลาธรรมสพน์,Sala Thammasop,13.80100600,100.37078500,กรุงเทพมหานคร,BANGKOK,ทวีวัฒนา,THAWI WATTHANA,ศาลาธรรมสพน์,SALA THAMMASOP
230,38,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,บางจาก,Bang Chak,13.69691600,100.60527100,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,บางจาก,BANG CHAK
268,290,12,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีเทา,Grey Line,นวลจันทร์,Nuan Chan,13.84059000,100.63427600,กรุงเทพมหานคร,BANGKOK,บึงกุ่ม,BUENG KUM,นวลจันทร์,NUAN CHAN
214,76,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,บางขุนนนท์,Bang Khun Non,13.76262971,100.47268620,กรุงเทพมหานคร,BANGKOK,บางกอกน้อย,BANGKOK NOI,บางขุนนนท์,BANG KHUN NON
171,42,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,แบริ่ง,Bearing,13.65829500,100.60064300,สมุทรปราการ,SAMUT PRAKAN,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,สำโรงเหนือ,SAMRONG NUEA
