row_number,transction_year,transction_month,listing_province_name_th,listing_province_name_en,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_rent_price_sqm
310,2021,7,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,2789,642
810,2020,8,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,419,644
1107,2020,8,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,คอนโด,Condo,101,743
1467,2020,11,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,258,657
953,2021,6,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,คอนโด,Condo,15,334
1266,2019,7,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คอนโด,Condo,443,658
14,2019,7,กรุงเทพมหานคร,BANGKOK,บางนา,BANG NA,คอนโด,Condo,168,373
1457,2019,3,กรุงเทพมหานคร,BANGKOK,พญาไท,PHAYA THAI,คอนโด,Condo,48,507
1546,2020,11,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,บ้าน,Detached House,16,149
1011,2021,8,กรุงเทพมหานคร,BANGKOK,บึงกุ่ม,BUENG KUM,คอนโด,Condo,12,236
1054,2021,4,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,คอนโด,Condo,21,324
1053,2019,11,กรุงเทพมหานคร,BANGKOK,ยานนาวา,YAN NAWA,คอนโด,Condo,179,380
1273,2020,6,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,คอนโด,Condo,52,350
467,2019,10,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,118,284
1537,2021,1,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,12,205
1072,2022,1,กรุงเทพมหานคร,BANGKOK,บึงกุ่ม,BUENG KUM,คอนโด,Condo,29,242
94,2019,7,กรุงเทพมหานคร,BANGKOK,สาทร,SATHON,คอนโด,Condo,103,609
578,2019,10,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,คอนโด,Condo,739,351
1166,2021,8,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,คอนโด,Condo,182,316
30,2020,8,กรุงเทพมหานคร,BANGKOK,บึงกุ่ม,BUENG KUM,คอนโด,Condo,68,266
1328,2021,11,สมุทรปราการ,SAMUT PRAKAN,บางบ่อ,BANG BO,คอนโด,Condo,83,265
655,2020,3,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,คอนโด,Condo,80,681
539,2019,1,กรุงเทพมหานคร,BANGKOK,บางนา,BANG NA,คอนโด,Condo,77,388
523,2022,1,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,คอนโด,Condo,83,357
634,2019,2,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,คอนโด,Condo,146,612
329,2019,4,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,16,286
