row_number,transction_year,transction_month,listing_province_name_th,listing_province_name_en,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,volume_of_rental
1312,2020,3,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,309
827,2021,9,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คอนโด,Condo,1677
1352,2019,11,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คอนโด,Condo,2693
132,2019,11,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,คอนโด,Condo,75
879,2019,4,กรุงเทพมหานคร,BANGKOK,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,12
754,2020,3,กรุงเทพมหานคร,BANGKOK,สวนหลวง,SUAN LUANG,คอนโด,Condo,37
624,2019,4,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,67
1519,2021,9,กรุงเทพมหานคร,BANGKOK,คันนายาว,KHAN NA YAO,ทาวน์โฮม,Townhome,11
784,2019,10,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,คอนโด,Condo,551
1028,2020,11,กรุงเทพมหานคร,BANGKOK,ดอนเมือง,DON MUEANG,คอนโด,Condo,12
466,2020,12,กรุงเทพมหานคร,BANGKOK,ลาดกระบัง,LAT KRABANG,คอนโด,Condo,49
1259,2019,9,กรุงเทพมหานคร,BANGKOK,คลองสาน,KHLONG SAN,คอนโด,Condo,91
716,2022,1,กรุงเทพมหานคร,BANGKOK,พระโขนง,PHRA KHANONG,คอนโด,Condo,331
865,2020,9,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,คอนโด,Condo,59
430,2021,5,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,คอนโด,Condo,118
1394,2020,10,กรุงเทพมหานคร,BANGKOK,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,426
574,2020,11,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,คอนโด,Condo,59
1276,2021,8,กรุงเทพมหานคร,BANGKOK,บางพลัด,BANG PHLAT,คอนโด,Condo,85
804,2021,6,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,2569
324,2019,5,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,คอนโด,Condo,28
602,2021,8,ปทุมธานี,PATHUM THANI,ลำลูกกา,LAM LUK KA,คอนโด,Condo,18
957,2019,10,กรุงเทพมหานคร,BANGKOK,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,89
1285,2020,11,กรุงเทพมหานคร,BANGKOK,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,22
850,2019,7,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คอนโด,Condo,421
