row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest
3081,2019,9,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,352,2467
3160,2021,3,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้านแฝด,Twin house,24,129
3047,2017,3,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,อาคารพาณิชย์,Commercial,201,2367
1678,2020,1,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,372,3373
1517,2021,8,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,บ้าน,Detached House,26,402
3220,2019,7,กรุงเทพมหานคร,Bangkok,บางคอแหลม,BANG KHO LAEM,บ้าน,Detached House,58,1149
3022,2021,5,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้านแฝด,Twin house,24,367
1978,2019,10,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,บ้าน,Detached House,124,1487
3164,2017,11,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,บ้าน,Detached House,95,1074
1155,2021,6,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,ทาวน์โฮม,Townhome,7,16
247,2021,3,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,โฮมออฟฟิศ,Home office,12,65
618,2017,12,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,ทาวน์โฮม,Townhome,40,69
2475,2017,2,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,ทาวน์โฮม,Townhome,208,1235
2598,2017,6,กรุงเทพมหานคร,Bangkok,บางซื่อ,BANG SUE,คอนโด,Condo,542,16114
791,2017,6,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,บ้าน,Detached House,594,4565
2393,2017,12,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,โฮมออฟฟิศ,Home office,26,46
3358,2017,12,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,ทาวน์โฮม,Townhome,556,5931
1687,2022,1,กรุงเทพมหานคร,Bangkok,หลักสี่,LAK SI,คอนโด,Condo,3,12
1358,2021,3,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,บ้าน,Detached House,44,677
2384,2017,12,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,PHASI CHAROEN,อาคารพาณิชย์,Commercial,213,890
373,2017,5,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,ทาวน์โฮม,Townhome,48,125
1349,2017,5,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,อาคารพาณิชย์,Commercial,138,2830
3205,2020,5,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,อาคารพาณิชย์,Commercial,46,451
1033,2020,5,สมุทรปราการ,Samut Prakan,บางเสาธง,BANG SAO THONG,คอนโด,Condo,59,1207
1061,2017,2,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,ทาวน์โฮม,Townhome,352,6931
2401,2020,2,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,32,83
930,2021,9,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้าน,Detached House,7,12
4,2017,4,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,บ้าน,Detached House,131,2823
2230,2019,7,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,921,13343
1604,2020,6,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,132,355
3159,2017,6,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,ทาวน์โฮม,Townhome,154,895
2059,2019,6,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,ทาวน์โฮม,Townhome,132,687
625,2021,7,กรุงเทพมหานคร,Bangkok,จอมทอง,CHOM THONG,คอนโด,Condo,12,44
2404,2021,6,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,11,28
584,2019,5,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,ทาวน์โฮม,Townhome,101,1257
1618,2020,5,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,คอนโด,Condo,26,232
2730,2017,1,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้าน,Detached House,3690,39017
2902,2017,7,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,PHASI CHAROEN,อาคารพาณิชย์,Commercial,213,976
2033,2016,12,นนทบุรี,Nonthaburi,ไทรน้อย,SAI NOI,บ้านแฝด,Twin house,169,1121
2542,2019,2,กรุงเทพมหานคร,Bangkok,ธนบุรี,THON BURI,คอนโด,Condo,359,2351
3233,2019,6,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,บ้าน,Detached House,35,176
2122,2017,3,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,คอนโด,Condo,397,1663
1750,2016,11,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,คอนโด,Condo,1007,5628
1448,2016,12,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,PHASI CHAROEN,โฮมออฟฟิศ,Home office,142,688
